"WordID","StrongsID"
"3482","H5146"
"3485","H6662"
"3486","H376"
"3488","H8549"
"3491","H1755"
"3493","H5146"
"3494","H1980"
"3496","H430"
"3498","H5146"
"3499","H3205"
"3500","H7969"
"3501","H1121"
"3502","H8035"
"3503","H2526"
"3505","H3315"
"3507","H776"
"3510","H7843"
"3511","H6440"
"3512","H430"
"3515","H776"
"3517","H4390"
"3519","H2555"
"3521","H430"
"3522","H7200"
"3525","H776"
"3530","H7843"
"3533","H1320"
"3535","H7843"
"3537","H1870"
"3540","H776"
"3542","H430"
"3543","H559"
"3545","H5146"
"3547","H7093"
"3550","H1320"
"3552","H935"
"3554","H6440"
"3557","H776"
"3560","H4390"
"3561","H2555"
"3563","H6440"
"3568","H7843"
"3570","H854"
"3572","H776"
"3573","H6213"
"3576","H8392"
"3578","H1613"
"3579","H6086"
"3580","H7064"
"3583","H6213"
"3584","H854"
"3586","H8392"
"3589","H3722"
"3591","H1004"
"3593","H2351"
"3595","H3724"
"3604","H6213"
"3608","H753"
"3611","H8392"
"3614","H7969"
"3615","H3967"
"3616","H520"
"3618","H7341"
"3621","H2572"
"3622","H520"
"3625","H6967"
"3628","H7970"
"3629","H520"
"3631","H6672"
"3634","H6213"
"3637","H8392"
"3641","H520"
"3644","H3615"
"3646","H4605"
"3649","H6607"
"3652","H8392"
"3655","H7760"
"3659","H6654"
"3661","H8482"
"3662","H8145"
"3664","H7992"
"3668","H6213"
"3671","H2009"
"3672","H589"
"3676","H935"
"3678","H3999"
"3680","H4325"
"3683","H776"
"3685","H7843"
"3687","H1320"
"3691","H7307"
"3693","H2416"
"3695","H8478"
"3696","H8064"
"3699","H3605"
"3704","H776"
"3706","H1478"
"3712","H6965"
"3714","H1285"
"3718","H935"
"3719","H413"
"3721","H8392"
"3722","H859"
"3725","H1121"
"3728","H802"
"3731","H1121"
"3732","H802"
"3739","H2416"
"3742","H1320"
"3743","H8147"
"3749","H935"
"3752","H8392"
"3756","H2421"
